Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2021-12-18,Bagmati,Dolakha,6359,,,0
2021-12-19,Bagmati,Dolakha,6359,,,0
2021-12-20,Bagmati,Dolakha,6359,,,0
2021-12-21,Bagmati,Dolakha,6359,,,0
2021-12-22,Bagmati,Dolakha,6359,,,0
2021-12-23,Bagmati,Dolakha,6359,,,0
2021-12-24,Bagmati,Dolakha,6359,,,0
2021-12-25,Bagmati,Dolakha,6359,,,0
2021-12-26,Bagmati,Dolakha,6359,,,0
2021-12-27,Bagmati,Dolakha,6359,,,0
2021-12-28,Bagmati,Dolakha,6359,,,0
2021-12-29,Bagmati,Dolakha,6359,,,0
2021-12-30,Bagmati,Dolakha,6359,,,0
2021-12-31,Bagmati,Dolakha,6359,,,0
2022-01-01,Bagmati,Dolakha,6359,,,0
2022-01-02,Bagmati,Dolakha,6359,,,0
2022-01-03,Bagmati,Dolakha,6359,,,0
2022-01-04,Bagmati,Dolakha,6359,,,0
2022-01-05,Bagmati,Dolakha,6359,,,0
2022-01-06,Bagmati,Dolakha,6359,,,0
2022-01-07,Bagmati,Dolakha,6359,,,0
2022-01-08,Bagmati,Dolakha,6359,,,0
2022-01-09,Bagmati,Dolakha,6359,,,0
2022-01-10,Bagmati,Dolakha,6359,,,0
2022-01-11,Bagmati,Dolakha,6359,,,0
2022-01-12,Bagmati,Dolakha,6359,,,0
2022-01-13,Bagmati,Dolakha,6359,,,0
2022-01-14,Bagmati,Dolakha,6359,,,0
2022-01-15,Bagmati,Dolakha,6359,,,0
2022-01-16,Bagmati,Dolakha,6359,,,0
2022-01-17,Bagmati,Dolakha,6359,,,0
2022-01-18,Bagmati,Dolakha,6359,,,0
2022-01-19,Bagmati,Dolakha,6359,,,0
2022-01-20,Bagmati,Dolakha,6359,,,0
2022-01-21,Bagmati,Dolakha,6359,,,0
2022-01-22,Bagmati,Dolakha,6359,,,0
2022-01-23,Bagmati,Dolakha,6359,,,0
2022-01-24,Bagmati,Dolakha,6359,,,0
2022-01-25,Bagmati,Dolakha,6359,,,0
2022-01-26,Bagmati,Dolakha,6359,,,0
2022-01-27,Bagmati,Dolakha,6359,,,0
2022-01-28,Bagmati,Dolakha,6359,,,0
2022-01-29,Bagmati,Dolakha,6359,,,0
2022-01-30,Bagmati,Dolakha,6359,,,0
2022-01-31,Bagmati,Dolakha,6359,,,0
2022-02-01,Bagmati,Dolakha,6359,,,0
2022-02-02,Bagmati,Dolakha,6359,,,0
2022-02-03,Bagmati,Dolakha,6359,,,0
2022-02-04,Bagmati,Dolakha,6359,,,0
2022-02-05,Bagmati,Dolakha,6359,,,0
2022-02-06,Bagmati,Dolakha,6359,,,0
2022-02-07,Bagmati,Dolakha,6359,,,0
2022-02-08,Bagmati,Dolakha,6359,,,0
2022-02-09,Bagmati,Dolakha,6359,,,0
2022-02-10,Bagmati,Dolakha,6359,,,0
2022-02-11,Bagmati,Dolakha,6359,,,0
2022-02-12,Bagmati,Dolakha,6359,,,0
2022-02-13,Bagmati,Dolakha,6359,,,0
2022-02-14,Bagmati,Dolakha,6359,,,0
2022-02-15,Bagmati,Dolakha,6359,,,0
2022-02-16,Bagmati,Dolakha,6359,,,0
2022-02-17,Bagmati,Dolakha,6359,,,0
2022-02-18,Bagmati,Dolakha,6359,,,0
2022-02-19,Bagmati,Dolakha,6359,,,0
2022-02-20,Bagmati,Dolakha,6359,,,0
2022-02-21,Bagmati,Dolakha,6359,,,0
2022-02-22,Bagmati,Dolakha,6359,,,0
2022-02-23,Bagmati,Dolakha,6359,,,0
2022-02-24,Bagmati,Dolakha,6359,,,0
2022-02-25,Bagmati,Dolakha,6359,,,0
2022-02-26,Bagmati,Dolakha,6359,,,0
2022-02-27,Bagmati,Dolakha,6359,,,0
2022-02-28,Bagmati,Dolakha,6359,,,0
2022-03-01,Bagmati,Dolakha,6359,,,0
2022-03-02,Bagmati,Dolakha,6359,,,0
2022-03-03,Bagmati,Dolakha,6359,,,0
2022-03-04,Bagmati,Dolakha,6359,,,0
2022-03-05,Bagmati,Dolakha,6359,,,0
2022-03-06,Bagmati,Dolakha,6359,,,0
2022-03-07,Bagmati,Dolakha,6359,,,0
2022-03-08,Bagmati,Dolakha,6359,,,0
2022-03-09,Bagmati,Dolakha,6359,,,0
2022-03-10,Bagmati,Dolakha,6359,,,0
2022-03-11,Bagmati,Dolakha,6359,,,0
2022-03-12,Bagmati,Dolakha,6359,,,0
2022-03-13,Bagmati,Dolakha,6359,,,0
2022-03-14,Bagmati,Dolakha,6359,,,0
2022-03-15,Bagmati,Dolakha,6359,,,0
2022-03-16,Bagmati,Dolakha,6359,,,0
2022-03-17,Bagmati,Dolakha,6359,,,0
2022-03-18,Bagmati,Dolakha,6359,,,0
2022-03-19,Bagmati,Dolakha,6359,,,0
2022-03-20,Bagmati,Dolakha,6359,,,0
2022-03-21,Bagmati,Dolakha,6359,,,0
2022-03-22,Bagmati,Dolakha,6359,,,0
2022-03-23,Bagmati,Dolakha,6359,,,0
2022-03-24,Bagmati,Dolakha,6359,,,0
2022-03-25,Bagmati,Dolakha,6359,,,0
2022-03-26,Bagmati,Dolakha,6359,,,0
2022-03-27,Bagmati,Dolakha,6359,,,0
2022-03-28,Bagmati,Dolakha,6359,,,0
2022-03-29,Bagmati,Dolakha,6359,,,0
2022-03-30,Bagmati,Dolakha,6359,,,0
2022-03-31,Bagmati,Dolakha,6359,,,0
2022-04-01,Bagmati,Dolakha,6359,,,0
2022-04-02,Bagmati,Dolakha,6359,,,0
2022-04-03,Bagmati,Dolakha,6359,,,0
2022-04-04,Bagmati,Dolakha,6359,,,0
2022-04-05,Bagmati,Dolakha,6359,,,0
2022-04-06,Bagmati,Dolakha,6359,,,0
2022-04-07,Bagmati,Dolakha,6359,,,0
2022-04-08,Bagmati,Dolakha,6359,,,0
2022-04-09,Bagmati,Dolakha,6359,,,0
2022-04-10,Bagmati,Dolakha,6359,,,0
2022-04-11,Bagmati,Dolakha,6359,,,0
2022-04-12,Bagmati,Dolakha,6359,,,0
2022-04-13,Bagmati,Dolakha,6359,,,0
2022-04-14,Bagmati,Dolakha,6359,,,0
2022-04-15,Bagmati,Dolakha,6359,,,0
2022-04-16,Bagmati,Dolakha,6359,,,0
2022-04-17,Bagmati,Dolakha,6359,,,0
2022-04-18,Bagmati,Dolakha,6359,,,0
2022-04-19,Bagmati,Dolakha,6359,,,0
2022-04-20,Bagmati,Dolakha,6359,,,0
2022-04-21,Bagmati,Dolakha,6359,,,0
2022-04-22,Bagmati,Dolakha,6359,,,0
2022-04-23,Bagmati,Dolakha,6359,,,0
2022-04-24,Bagmati,Dolakha,6359,,,0
2022-04-25,Bagmati,Dolakha,6359,,,0
2022-04-26,Bagmati,Dolakha,6359,,,0
2022-04-27,Bagmati,Dolakha,6359,,,0
2022-04-28,Bagmati,Dolakha,6359,,,0
2022-04-29,Bagmati,Dolakha,6359,,,0
2022-04-30,Bagmati,Dolakha,6359,,,0
2022-05-01,Bagmati,Dolakha,6359,,,0
2022-05-02,Bagmati,Dolakha,6359,,,0
2022-05-03,Bagmati,Dolakha,6359,,,0
2022-05-04,Bagmati,Dolakha,6359,,,0
2022-05-05,Bagmati,Dolakha,6359,,,0
2022-05-06,Bagmati,Dolakha,6359,,,0
2022-05-07,Bagmati,Dolakha,6359,,,0
2022-05-08,Bagmati,Dolakha,6359,,,0
2022-05-09,Bagmati,Dolakha,6359,,,0
2022-05-10,Bagmati,Dolakha,6359,,,0
2022-05-11,Bagmati,Dolakha,6359,,,0
2022-05-12,Bagmati,Dolakha,6359,,,0
2022-05-13,Bagmati,Dolakha,6359,,,0
2022-05-14,Bagmati,Dolakha,6359,,,0
2022-05-15,Bagmati,Dolakha,6359,,,0
2022-05-16,Bagmati,Dolakha,6359,,,0
2022-05-17,Bagmati,Dolakha,6359,,,0
2022-05-18,Bagmati,Dolakha,6359,,,0
2022-05-19,Bagmati,Dolakha,6359,,,0
2022-05-20,Bagmati,Dolakha,6359,,,0
2022-05-21,Bagmati,Dolakha,6359,,,0
2022-05-22,Bagmati,Dolakha,6359,,,0
2022-05-23,Bagmati,Dolakha,6359,,,0
2022-05-24,Bagmati,Dolakha,6359,,,0
2022-05-25,Bagmati,Dolakha,6359,,,0
2022-05-26,Bagmati,Dolakha,6359,,,0
2022-05-27,Bagmati,Dolakha,6359,,,0
2022-05-28,Bagmati,Dolakha,6359,,,0
2022-05-29,Bagmati,Dolakha,6359,,,0
2022-05-30,Bagmati,Dolakha,6359,,,0
2022-05-31,Bagmati,Dolakha,6359,,,0
2022-06-01,Bagmati,Dolakha,6359,,,0
2022-06-02,Bagmati,Dolakha,6359,,,0
2022-06-03,Bagmati,Dolakha,6359,,,0
2022-06-04,Bagmati,Dolakha,6359,,,0
2022-06-05,Bagmati,Dolakha,6359,,,0
2022-06-06,Bagmati,Dolakha,6359,,,0
2022-06-07,Bagmati,Dolakha,6359,,,0
2022-06-08,Bagmati,Dolakha,6359,,,0
2022-06-09,Bagmati,Dolakha,6359,,,0
2022-06-10,Bagmati,Dolakha,6359,,,0
2022-06-11,Bagmati,Dolakha,6359,,,0
2022-06-12,Bagmati,Dolakha,6359,,,0
2022-06-13,Bagmati,Dolakha,6359,,,0
2022-06-14,Bagmati,Dolakha,6359,,,0
2022-06-15,Bagmati,Dolakha,6359,,,0
2022-06-16,Bagmati,Dolakha,6359,,,0
2022-06-17,Bagmati,Dolakha,6359,,,0
2022-06-18,Bagmati,Dolakha,6359,,,0
2022-06-19,Bagmati,Dolakha,6359,,,0
2022-06-20,Bagmati,Dolakha,6359,,,0
2022-06-21,Bagmati,Dolakha,6359,,,0
2022-06-22,Bagmati,Dolakha,6359,,,0
2022-06-23,Bagmati,Dolakha,6359,,,0
2022-06-24,Bagmati,Dolakha,6359,,,0
2022-06-25,Bagmati,Dolakha,6359,,,0
2022-06-26,Bagmati,Dolakha,6359,,,0
2022-06-27,Bagmati,Dolakha,6359,,,0
2022-06-28,Bagmati,Dolakha,6359,,,0
2022-06-30,Bagmati,Dolakha,6359,,,0
2022-07-01,Bagmati,Dolakha,6359,,,0
2022-07-02,Bagmati,Dolakha,6359,,,0
2022-07-03,Bagmati,Dolakha,6359,,,0
2022-07-04,Bagmati,Dolakha,6359,,,0
2022-07-05,Bagmati,Dolakha,6359,,,0
2022-07-06,Bagmati,Dolakha,6359,,,0
2022-07-07,Bagmati,Dolakha,6359,,,0
2022-07-08,Bagmati,Dolakha,6359,,,0
2022-07-09,Bagmati,Dolakha,6359,,,0
2022-07-10,Bagmati,Dolakha,6359,,,0
2022-07-11,Bagmati,Dolakha,6359,,,0
2022-07-12,Bagmati,Dolakha,6359,,,0
2022-07-13,Bagmati,Dolakha,6359,,,0
2022-07-14,Bagmati,Dolakha,6359,,,0
2022-07-15,Bagmati,Dolakha,6359,,,0
2022-07-16,Bagmati,Dolakha,6359,,,0
2022-07-17,Bagmati,Dolakha,6359,,,0
2022-07-18,Bagmati,Dolakha,6359,,,0
2022-07-19,Bagmati,Dolakha,6359,,,0
2022-07-20,Bagmati,Dolakha,6359,,,0
2022-07-21,Bagmati,Dolakha,6359,,,0
2022-07-22,Bagmati,Dolakha,6359,,,0
2022-07-23,Bagmati,Dolakha,6359,,,0
2022-07-24,Bagmati,Dolakha,6359,,,0
2022-07-25,Bagmati,Dolakha,6359,,,0
2022-07-26,Bagmati,Dolakha,6359,,,0
2022-07-27,Bagmati,Dolakha,6359,,,0
2022-07-28,Bagmati,Dolakha,6359,,,0
2022-07-29,Bagmati,Dolakha,6359,,,0
2022-07-30,Bagmati,Dolakha,6359,,,0
2022-07-31,Bagmati,Dolakha,6359,,,0
2022-08-01,Bagmati,Dolakha,6359,,,0
2022-08-02,Bagmati,Dolakha,6359,,,0
2022-08-03,Bagmati,Dolakha,6359,,,0
2022-08-04,Bagmati,Dolakha,6359,,,0
2022-08-05,Bagmati,Dolakha,6359,,,0
2022-08-06,Bagmati,Dolakha,6359,,,0
2022-08-07,Bagmati,Dolakha,6359,,,0
2022-08-08,Bagmati,Dolakha,6359,,,0
2022-08-09,Bagmati,Dolakha,6359,,,0
2022-08-10,Bagmati,Dolakha,6359,,,0
2022-08-11,Bagmati,Dolakha,6359,,,0
2022-08-12,Bagmati,Dolakha,6359,,,0
2022-08-13,Bagmati,Dolakha,6359,,,0
2022-08-14,Bagmati,Dolakha,6359,,,0
2022-08-15,Bagmati,Dolakha,6359,,,0
2022-08-16,Bagmati,Dolakha,6359,,,0
2022-08-17,Bagmati,Dolakha,6359,,,0
2022-08-18,Bagmati,Dolakha,6359,,,0
2022-08-19,Bagmati,Dolakha,6359,,,0
2022-08-20,Bagmati,Dolakha,6359,,,0
2022-08-21,Bagmati,Dolakha,6359,,,0
2022-08-22,Bagmati,Dolakha,6359,,,0
2022-08-23,Bagmati,Dolakha,6359,,,0
2022-08-24,Bagmati,Dolakha,6359,,,0
2022-08-25,Bagmati,Dolakha,6359,,,0
2022-08-26,Bagmati,Dolakha,6359,,,0
2022-08-27,Bagmati,Dolakha,6359,,,0
2022-08-28,Bagmati,Dolakha,6359,,,0
2022-08-29,Bagmati,Dolakha,6359,,,0
2022-08-30,Bagmati,Dolakha,6359,,,0
2022-08-31,Bagmati,Dolakha,6359,,,0
2022-09-01,Bagmati,Dolakha,6359,,,0
2022-09-02,Bagmati,Dolakha,6359,,,0
2022-09-03,Bagmati,Dolakha,6359,,,0
2022-09-04,Bagmati,Dolakha,6359,,,0
2022-09-05,Bagmati,Dolakha,6359,,,0
2022-09-06,Bagmati,Dolakha,6359,,,0
2022-09-07,Bagmati,Dolakha,6359,,,0
2022-09-08,Bagmati,Dolakha,6359,,,0
2022-09-09,Bagmati,Dolakha,6359,,,0
2022-09-10,Bagmati,Dolakha,6359,,,0
2022-09-11,Bagmati,Dolakha,6359,,,0
2022-09-12,Bagmati,Dolakha,6359,,,0
2022-09-13,Bagmati,Dolakha,6359,,,0
2022-09-14,Bagmati,Dolakha,6359,,,0
2022-09-15,Bagmati,Dolakha,6359,,,0
2022-09-16,Bagmati,Dolakha,6359,,,0
2022-09-17,Bagmati,Dolakha,6359,,,0
2022-09-18,Bagmati,Dolakha,6359,,,0
2022-09-19,Bagmati,Dolakha,6359,,,0
2022-09-20,Bagmati,Dolakha,6359,,,0
2022-09-21,Bagmati,Dolakha,6359,,,0
